titulo,autor,isbn,paginas,ano_publicacao
Morte no Nilo,Agatha Christie,9788520936511,256,2016
O Mistério dos Sete Relógios,Agatha Christie,9788520939918,266,2016
Os Crimes ABC,Agatha Christie,9788520940105,258,2016
Os Trabalhos de Hércules,Agatha Christie,9788520939901,288,2016
A Maldição do Espelho,Agatha Christie,9788520939802,256,2016
Cem Gramas de Centeio,Agatha Christie,9788520940099,232,2016
Os Crimes ABC,Agatha Christie,9788520940105,248,2015
Cem Gramas de Centeio,Agatha Christie,9788520940099,228,2015
Box Coleção Agatha Christie,Agatha Christie,9788520940488,812,2015
Box Coleção Agatha Christie,Agatha Christie,9788520940495,756,2015
Nêmesis (Nemesis),Agatha Christie,9788520939895,266,2015
Sherlock Holmes - Volume 2,Arthur Conan Doyle,9788595080850,400,2015
Sherlock Holmes: Volume 4: Os últimos casos de Sherlock Holmes | Histórias de Sherlock Holmes,Arthur Conan Doyle,nan,465,2015
Assassinato no Expresso do Oriente,Agatha Christie,9788520934784,200,2014
Morte no Nilo,Agatha Christie,9788520936511,256,2014
Um Corpo na Biblioteca,Agatha Christie,9788520936535,184,2014
Os Elefantes Não Esquecem,Agatha Christie,9788520936528,168,2014
Morte na Mesopotâmia,Agatha Christie,9788520934807,240,2014
A Mansão Hollow,Agatha Christie,9788520938225,256,2014
Box Coleção Agatha Christie,Agatha Christie,9788520938331,642,2014
Box Coleção Agatha Christie,Agatha Christie,9788520938348,664,2014
Os Trabalhos de Hércules,Agatha Christie,9788520939901,284,2014
O Mistério dos Sete Relógios,Agatha Christie,9788520939918,260,2014
A aventura da cozinheira de Clapham,Agatha Christie,nan,35,2020
O Cão dos Baskervilles,Sir Arthur Conan Doyle,9788599187388,189,2007
As Aventuras de Sherlock Holmes,Sir Arthur Conan Doyle,9786586014327,400,2020
Memórias de Sherlock Holmes,Sir Arthur Conan Doyle,9786586014303,440,2020
A Volta de Sherlock Holmes,Sir Arthur Conan Doyle,9786586014297,440,2020
Memórias de Sherlock Holmes,Sir Arthur Conan Doyle,9788572329286,232,2013
Papéis Avulsos,Machado de Assis,9788572329293,184,2013
Helena,Machado de Assis,9788572325363,184,2013
Machado de Assis Várias Histórias,Machado de Assis,9788572325639,152,2013
A Mão e a Luva,Machado de Assis,9788572329422,136,2013
Crônicas Selecionadas,Machado de Assis,9788572329453,192,2013
Ressurreição,Machado de Assis,9788572329576,164,2013
O Alienista / Casa Velha,Machado de Assis,9788572325646,120,2012
Dom Casmurro,Machado de Assis,9788572322645,218,2012
Memórias Póstumas de Brás Cubas,Machado de Assis,9788572322942,200,2012
